code,date,value,description
CKTCEUS,199105,142.398,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199106,151.41,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199107,165.355,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199108,164.726,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199109,150.296,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199110,146.585,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199111,151.314,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199112,157.388,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199113,1807.022,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199201,159.75,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199202,142.772,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199203,148.512,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199204,138.698,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199205,141.808,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199206,148.755,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199207,169.332,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199208,162.669,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199209,152.868,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199210,147.941,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199211,147.622,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199212,162.256,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199213,1822.982,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199301,161.064,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,199302,149.007,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
